Fondsposition per,"10.Dez.2025"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ISP","INTESA SANPAOLO","Financials","Aktien","62.978.159,09","0,68","62.978.159,09","11.178.232,00","5,63","Italien","Borsa Italiana","EUR"
"RMS","HERMES INTERNATIONAL","Zyklische Konsumgüter ","Aktien","57.472.355,00","0,62","57.472.355,00","26.995,00","2.129,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RHM","RHEINMETALL AG","Industrie","Aktien","56.694.540,00","0,61","56.694.540,00","35.214,00","1.610,00","Deutschland","Xetra","EUR"
"CS","AXA SA","Financials","Aktien","55.741.401,00","0,60","55.741.401,00","1.420.525,00","39,24","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BARC","BARCLAYS PLC","Financials","Aktien","55.068.688,51","0,59","55.068.688,51","10.882.883,00","5,06","Vereinigtes Königreich","London Stock Exchange","GBP"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Aktien","54.889.424,40","0,59","54.889.424,40","100.383,00","546,80","Deutschland","Xetra","EUR"
"INGA","ING GROEP NV","Financials","Aktien","53.238.138,98","0,57","53.238.138,98","2.315.205,00","23,00","Niederlande","Euronext Amsterdam","EUR"
"RIO","RIO TINTO PLC","Materialien","Aktien","52.998.358,52","0,57","52.998.358,52","826.112,00","64,15","Vereinigtes Königreich","London Stock Exchange","GBP"
"ENEL","ENEL","Versorger","Aktien","51.813.095,40","0,56","51.813.095,40","5.968.563,00","8,68","Italien","Borsa Italiana","EUR"
"DG","VINCI SA","Industrie","Aktien","51.606.227,20","0,56","51.606.227,20","442.592,00","116,60","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NG.","NATIONAL GRID PLC","Versorger","Aktien","50.467.858,00","0,54","50.467.858,00","3.948.833,00","12,78","Vereinigtes Königreich","London Stock Exchange","GBP"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Aktien","50.052.186,05","0,54","50.052.186,05","46.125.233,00","1,09","Vereinigtes Königreich","London Stock Exchange","GBP"
"PRX","PROSUS NV CLASS N","Zyklische Konsumgüter ","Aktien","50.032.528,00","0,54","50.032.528,00","962.164,00","52,00","Niederlande","Euronext Amsterdam","EUR"
"REL","RELX PLC","Industrie","Aktien","49.407.441,27","0,53","49.407.441,27","1.436.994,00","34,38","Vereinigtes Königreich","London Stock Exchange","GBP"
"DBK","DEUTSCHE BANK AG","Financials","Aktien","47.759.717,29","0,51","47.759.717,29","1.492.258,00","32,01","Deutschland","Xetra","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Zyklische Konsumgüter ","Aktien","46.641.650,70","0,50","46.641.650,70","852.681,00","54,70","Spanien","Bolsa De Madrid","EUR"
"NWG","NATWEST GROUP PLC","Financials","Aktien","45.112.503,45","0,49","45.112.503,45","6.365.504,00","7,09","Vereinigtes Königreich","London Stock Exchange","GBP"
"BA.","BAE SYSTEMS PLC","Industrie","Aktien","45.091.923,56","0,49","45.091.923,56","2.309.402,00","19,53","Vereinigtes Königreich","London Stock Exchange","GBP"
"ABI","ANHEUSER-BUSCH INBEV SA","Nichtzyklische Konsumgüter","Aktien","41.808.626,00","0,45","41.808.626,00","788.842,00","53,00","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"INVE B","INVESTOR CLASS B","Financials","Aktien","41.639.011,48","0,45","41.639.011,48","1.396.573,00","29,82","Schweden","Nasdaq Omx Nordic","SEK"
"NDA FI","NORDEA BANK","Financials","Aktien","39.248.139,44","0,42","39.248.139,44","2.522.374,00","15,56","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"GLE","SOCIETE GENERALE SA","Financials","Aktien","38.383.943,76","0,41","38.383.943,76","604.662,00","63,48","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financials","Aktien","37.293.207,74","0,40","37.293.207,74","389.600,00","95,72","Vereinigtes Königreich","London Stock Exchange","GBP"
"IFX","INFINEON TECHNOLOGIES AG","IT","Aktien","36.864.732,65","0,40","36.864.732,65","1.004.215,00","36,71","Deutschland","Xetra","EUR"
"BN","DANONE SA","Nichtzyklische Konsumgüter","Aktien","36.848.463,36","0,40","36.848.463,36","490.528,00","75,12","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ARGX","ARGENX","Gesundheitsversorgung","Aktien","36.418.136,80","0,39","36.418.136,80","47.284,00","770,20","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"CPG","COMPASS GROUP PLC","Zyklische Konsumgüter ","Aktien","35.822.488,98","0,39","35.822.488,98","1.350.088,00","26,53","Vereinigtes Königreich","London Stock Exchange","GBP"
"RKT","RECKITT BENCKISER GROUP PLC","Nichtzyklische Konsumgüter","Aktien","35.240.336,19","0,38","35.240.336,19","517.295,00","68,12","Vereinigtes Königreich","London Stock Exchange","GBP"
"MBG","MERCEDES-BENZ GROUP N AG","Zyklische Konsumgüter ","Aktien","33.736.939,68","0,36","33.736.939,68","555.432,00","60,74","Deutschland","Xetra","EUR"
"DHL","DEUTSCHE POST AG","Industrie","Aktien","32.624.718,69","0,35","32.624.718,69","712.797,00","45,77","Deutschland","Xetra","EUR"
"VOLV B","VOLVO CLASS B","Industrie","Aktien","32.543.259,14","0,35","32.543.259,14","1.217.024,00","26,74","Schweden","Nasdaq Omx Nordic","SEK"
"GLEN","GLENCORE PLC","Materialien","Aktien","32.373.605,78","0,35","32.373.605,78","7.438.025,00","4,35","Vereinigtes Königreich","London Stock Exchange","GBP"
"DSV","DSV","Industrie","Aktien","32.076.814,28","0,35","32.076.814,28","152.028,00","210,99","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"HOLN","HOLCIM LTD AG","Materialien","Aktien","32.075.932,36","0,35","32.075.932,36","406.251,00","78,96","Schweiz","SIX Swiss Exchange","CHF"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrie","Aktien","31.910.527,00","0,34","31.910.527,00","382.162,00","83,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DB1","DEUTSCHE BOERSE AG","Financials","Aktien","31.754.406,50","0,34","31.754.406,50","144.667,00","219,50","Deutschland","Xetra","EUR"
"SREN","SWISS RE AG","Financials","Aktien","31.331.028,39","0,34","31.331.028,39","228.549,00","137,09","Schweiz","SIX Swiss Exchange","CHF"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","31.189.677,11","0,34","31.189.677,11","1.701.592,00","18,33","Vereinigtes Königreich","London Stock Exchange","GBP"
"LONN","LONZA GROUP AG","Gesundheitsversorgung","Aktien","31.182.145,49","0,34","31.182.145,49","54.180,00","575,53","Schweiz","SIX Swiss Exchange","CHF"
"ENGI","ENGIE SA","Versorger","Aktien","30.620.286,84","0,33","30.620.286,84","1.426.854,00","21,46","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ADYEN","ADYEN NV","Financials","Aktien","30.239.913,60","0,33","30.239.913,60","22.672,00","1.333,80","Niederlande","Euronext Amsterdam","EUR"
"ATCO A","ATLAS COPCO CLASS A","Industrie","Aktien","30.209.446,33","0,33","30.209.446,33","1.967.726,00","15,35","Schweden","Nasdaq Omx Nordic","SEK"
"BAS","BASF N","Materialien","Aktien","29.578.423,32","0,32","29.578.423,32","685.638,00","43,14","Deutschland","Xetra","EUR"
"RACE","FERRARI NV","Zyklische Konsumgüter ","Aktien","28.890.472,50","0,31","28.890.472,50","93.045,00","310,50","Italien","Borsa Italiana","EUR"
"G","ASSICURAZIONI GENERALI","Financials","Aktien","28.537.520,40","0,31","28.537.520,40","821.460,00","34,74","Italien","Borsa Italiana","EUR"
"STAN","STANDARD CHARTERED PLC","Financials","Aktien","28.386.890,82","0,31","28.386.890,82","1.456.407,00","19,49","Vereinigtes Königreich","London Stock Exchange","GBP"
"BAYN","BAYER AG","Gesundheitsversorgung","Aktien","27.704.556,68","0,30","27.704.556,68","756.645,00","36,62","Deutschland","Xetra","EUR"
"CABK","CAIXABANK SA","Financials","Aktien","27.703.556,52","0,30","27.703.556,52","2.764.826,00","10,02","Spanien","Bolsa De Madrid","EUR"
"HLN","HALEON PLC","Gesundheitsversorgung","Aktien","27.672.200,84","0,30","27.672.200,84","6.789.798,00","4,08","Vereinigtes Königreich","London Stock Exchange","GBP"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","27.642.889,68","0,30","27.642.889,68","27.642.890,00","100,00","Europäische Union","-","EUR"
"AAL","ANGLO AMERICAN PLC","Materialien","Aktien","27.464.305,30","0,30","27.464.305,30","833.457,00","32,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"III","3I GROUP PLC","Financials","Aktien","26.907.088,10","0,29","26.907.088,10","753.253,00","35,72","Vereinigtes Königreich","London Stock Exchange","GBP"
"EOAN","E.ON N","Versorger","Aktien","26.444.945,14","0,28","26.444.945,14","1.704.476,00","15,52","Deutschland","Xetra","EUR"
"EXPN","EXPERIAN PLC","Industrie","Aktien","26.422.756,64","0,28","26.422.756,64","705.353,00","37,46","Vereinigtes Königreich","London Stock Exchange","GBP"
"ENI","ENI","Energie","Aktien","26.397.861,94","0,28","26.397.861,94","1.648.424,00","16,01","Italien","Borsa Italiana","EUR"
"ALC","ALCON AG","Gesundheitsversorgung","Aktien","26.333.736,06","0,28","26.333.736,06","384.371,00","68,51","Schweiz","SIX Swiss Exchange","CHF"
"LR","LEGRAND SA","Industrie","Aktien","25.883.721,00","0,28","25.883.721,00","200.649,00","129,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TSCO","TESCO PLC","Nichtzyklische Konsumgüter","Aktien","25.874.310,47","0,28","25.874.310,47","5.057.911,00","5,12","Vereinigtes Königreich","London Stock Exchange","GBP"
"ASSA B","ASSA ABLOY B","Industrie","Aktien","24.909.860,80","0,27","24.909.860,80","768.349,00","32,42","Schweden","Nasdaq Omx Nordic","SEK"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Nichtzyklische Konsumgüter","Aktien","23.915.278,08","0,26","23.915.278,08","695.616,00","34,38","Niederlande","Euronext Amsterdam","EUR"
"PRU","PRUDENTIAL PLC","Financials","Aktien","23.242.607,23","0,25","23.242.607,23","1.873.106,00","12,41","Vereinigtes Königreich","London Stock Exchange","GBP"
"UCB","UCB SA","Gesundheitsversorgung","Aktien","23.028.618,20","0,25","23.028.618,20","95.081,00","242,20","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"EBS","ERSTE GROUP BANK AG","Financials","Aktien","22.780.642,60","0,25","22.780.642,60","231.041,00","98,60","Österreich","Wiener Boerse Ag","EUR"
"RWE","RWE AG","Versorger","Aktien","22.765.580,58","0,24","22.765.580,58","522.986,00","43,53","Deutschland","Xetra","EUR"
"IMB","IMPERIAL BRANDS PLC","Nichtzyklische Konsumgüter","Aktien","22.043.838,64","0,24","22.043.838,64","586.845,00","37,56","Vereinigtes Königreich","London Stock Exchange","GBP"
"GIVN","GIVAUDAN SA","Materialien","Aktien","21.936.029,57","0,24","21.936.029,57","6.204,00","3.535,77","Schweiz","SIX Swiss Exchange","CHF"
"SAND","SANDVIK","Industrie","Aktien","21.887.572,01","0,24","21.887.572,01","815.439,00","26,84","Schweden","Nasdaq Omx Nordic","SEK"
"EQT","EQT","Financials","Aktien","21.831.345,20","0,23","21.831.345,20","721.843,00","30,24","Schweden","Nasdaq Omx Nordic","SEK"
"SDZ","SANDOZ GROUP AG","Gesundheitsversorgung","Aktien","21.600.247,09","0,23","21.600.247,09","341.527,00","63,25","Schweiz","SIX Swiss Exchange","CHF"
"FER","FERROVIAL","Industrie","Aktien","21.550.786,40","0,23","21.550.786,40","381.160,00","56,54","Spanien","Bolsa De Madrid","EUR"
"AMS","AMADEUS IT GROUP SA","Zyklische Konsumgüter ","Aktien","21.388.856,58","0,23","21.388.856,58","347.109,00","61,62","Spanien","Bolsa De Madrid","EUR"
"HEI","HEIDELBERG MATERIALS AG","Materialien","Aktien","21.327.780,90","0,23","21.327.780,90","97.789,00","218,10","Deutschland","Xetra","EUR"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Financials","Aktien","21.255.745,85","0,23","21.255.745,85","1.211.043,00","17,55","Schweden","Nasdaq Omx Nordic","SEK"
"ADS","ADIDAS N AG","Zyklische Konsumgüter ","Aktien","21.190.528,80","0,23","21.190.528,80","131.292,00","161,40","Deutschland","Xetra","EUR"
"SIKA","SIKA AG","Materialien","Aktien","20.927.655,97","0,23","20.927.655,97","124.006,00","168,76","Schweiz","SIX Swiss Exchange","CHF"
"NOKIA","NOKIA","IT","Aktien","20.698.016,22","0,22","20.698.016,22","3.900.870,00","5,31","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"ORA","ORANGE SA","Kommunikation","Aktien","20.684.409,87","0,22","20.684.409,87","1.513.678,00","13,66","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DANSKE","DANSKE BANK","Financials","Aktien","20.662.578,35","0,22","20.662.578,35","503.550,00","41,03","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"BMW","BMW AG","Zyklische Konsumgüter ","Aktien","20.646.680,44","0,22","20.646.680,44","215.834,00","95,66","Deutschland","Xetra","EUR"
"SSE","SSE PLC","Versorger","Aktien","20.573.949,65","0,22","20.573.949,65","859.534,00","23,94","Vereinigtes Königreich","London Stock Exchange","GBP"
"SLHN","SWISS LIFE HOLDING AG","Financials","Aktien","20.374.445,74","0,22","20.374.445,74","21.924,00","929,32","Schweiz","SIX Swiss Exchange","CHF"
"CBK","COMMERZBANK AG","Financials","Aktien","20.205.983,50","0,22","20.205.983,50","582.305,00","34,70","Deutschland","Xetra","EUR"
"SWED A","SWEDBANK","Financials","Aktien","19.837.814,84","0,21","19.837.814,84","699.884,00","28,34","Schweden","Nasdaq Omx Nordic","SEK"
"PRY","PRYSMIAN","Industrie","Aktien","19.621.196,70","0,21","19.621.196,70","227.255,00","86,34","Italien","Borsa Italiana","EUR"
"ASM","ASM INTERNATIONAL NV","IT","Aktien","19.519.718,40","0,21","19.519.718,40","35.568,00","548,80","Niederlande","Euronext Amsterdam","EUR"
"SAMPO","SAMPO CLASS A","Financials","Aktien","19.273.577,79","0,21","19.273.577,79","1.921.593,00","10,03","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"AMRZ","AMRIZE AG","Materialien","Aktien","19.103.496,00","0,21","19.103.496,00","415.530,00","45,97","Vereinigte Staaten","SIX Swiss Exchange","CHF"
"CAP","CAPGEMINI","IT","Aktien","18.960.273,60","0,20","18.960.273,60","129.776,00","146,10","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"GALD","GALDERMA GROUP N AG","Gesundheitsversorgung","Aktien","18.620.339,32","0,20","18.620.339,32","103.693,00","179,57","Schweiz","SIX Swiss Exchange","CHF"
"KBC","KBC GROEP","Financials","Aktien","18.547.041,30","0,20","18.547.041,30","171.573,00","108,10","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"ERIC B","ERICSSON B","IT","Aktien","18.407.475,17","0,20","18.407.475,17","2.226.049,00","8,27","Schweden","Nasdaq Omx Nordic","SEK"
"UMG","UNIVERSAL MUSIC GROUP NV","Kommunikation","Aktien","18.280.205,24","0,20","18.280.205,24","843.572,00","21,67","Niederlande","Euronext Amsterdam","EUR"
"KNEBV","KONE","Industrie","Aktien","18.250.929,18","0,20","18.250.929,18","310.707,00","58,74","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"AHT","ASHTEAD GROUP PLC","Industrie","Aktien","18.190.245,34","0,20","18.190.245,34","332.249,00","54,75","Vereinigtes Königreich","London Stock Exchange","GBP"
"RYA","RYANAIR HOLDINGS PLC","Industrie","Aktien","18.060.295,20","0,19","18.060.295,20","640.436,00","28,20","Irland","Irish Stock Exchange - All Market","EUR"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Aktien","17.657.308,78","0,19","17.657.308,78","17.299,00","1.020,71","Schweiz","SIX Swiss Exchange","CHF"
"VWS","VESTAS WIND SYSTEMS","Industrie","Aktien","17.517.449,57","0,19","17.517.449,57","782.336,00","22,39","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"GEBN","GEBERIT AG","Industrie","Aktien","17.196.622,34","0,19","17.196.622,34","26.300,00","653,86","Schweiz","SIX Swiss Exchange","CHF"
"AV.","AVIVA PLC","Financials","Aktien","17.038.930,34","0,18","17.038.930,34","2.296.003,00","7,42","Vereinigtes Königreich","London Stock Exchange","GBP"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Zyklische Konsumgüter ","Aktien","16.993.695,60","0,18","16.993.695,60","159.117,00","106,80","Deutschland","Xetra","EUR"
"HO","THALES SA","Industrie","Aktien","16.831.188,00","0,18","16.831.188,00","73.821,00","228,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"WKL","WOLTERS KLUWER NV","Industrie","Aktien","16.265.645,52","0,18","16.265.645,52","184.669,00","88,08","Niederlande","Euronext Amsterdam","EUR"
"VOD","VODAFONE GROUP PLC","Kommunikation","Aktien","16.223.617,05","0,17","16.223.617,05","15.004.549,00","1,08","Vereinigtes Königreich","London Stock Exchange","GBP"
"KER","KERING SA","Zyklische Konsumgüter ","Aktien","15.905.371,20","0,17","15.905.371,20","55.074,00","288,80","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HEXA B","HEXAGON CLASS B","IT","Aktien","15.836.387,67","0,17","15.836.387,67","1.577.843,00","10,04","Schweden","Nasdaq Omx Nordic","SEK"
"DTG","DAIMLER TRUCK HOLDING E AG","Industrie","Aktien","15.820.215,06","0,17","15.820.215,06","430.014,00","36,79","Deutschland","Xetra","EUR"
"PUB","PUBLICIS GROUPE SA","Kommunikation","Aktien","15.653.182,48","0,17","15.653.182,48","181.339,00","86,32","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"STLAM","STELLANTIS NV","Zyklische Konsumgüter ","Aktien","15.631.859,52","0,17","15.631.859,52","1.537.056,00","10,17","Italien","Borsa Italiana","EUR"
"FRE","FRESENIUS SE AND CO KGAA","Gesundheitsversorgung","Aktien","15.420.071,36","0,17","15.420.071,36","320.984,00","48,04","Deutschland","Xetra","EUR"
"VIE","VEOLIA ENVIRON. SA","Versorger","Aktien","15.248.469,60","0,16","15.248.469,60","528.360,00","28,86","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DNB","DNB BANK","Financials","Aktien","15.078.897,97","0,16","15.078.897,97","656.313,00","22,98","Norwegen","Oslo Bors Asa","NOK"
"LDO","LEONARDO FINMECCANICA SPA","Industrie","Aktien","15.048.875,52","0,16","15.048.875,52","309.393,00","48,64","Italien","Borsa Italiana","EUR"
"HEIA","HEINEKEN NV","Nichtzyklische Konsumgüter","Aktien","15.012.496,00","0,16","15.012.496,00","220.772,00","68,00","Niederlande","Euronext Amsterdam","EUR"
"ML","MICHELIN","Zyklische Konsumgüter ","Aktien","14.985.174,96","0,16","14.985.174,96","544.124,00","27,54","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ACA","CREDIT AGRICOLE SA","Financials","Aktien","14.822.168,46","0,16","14.822.168,46","867.047,00","17,09","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","Financials","Aktien","14.677.133,76","0,16","14.677.133,76","1.208.625,00","12,14","Schweden","Nasdaq Omx Nordic","SEK"
"MTX","MTU AERO ENGINES HOLDING AG","Industrie","Aktien","14.669.052,00","0,16","14.669.052,00","41.438,00","354,00","Deutschland","Xetra","EUR"
"REP","REPSOL SA","Energie","Aktien","14.425.558,91","0,16","14.425.558,91","884.461,00","16,31","Spanien","Bolsa De Madrid","EUR"
"A5G","AIB GROUP PLC","Financials","Aktien","14.319.105,22","0,15","14.319.105,22","1.610.698,00","8,89","Irland","Irish Stock Exchange - All Market","EUR"
"NSIS B","NOVOZYMES B","Materialien","Aktien","13.950.840,46","0,15","13.950.840,46","263.944,00","52,86","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"PHIA","KONINKLIJKE PHILIPS NV","Gesundheitsversorgung","Aktien","13.826.496,00","0,15","13.826.496,00","601.152,00","23,00","Niederlande","Euronext Amsterdam","EUR"
