Fondsposition per,"18.Nov.2025"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ENR","SIEMENS ENERGY N AG","Industrie","Aktien","58.839.612,00","0,65","58.839.612,00","550.160,00","106,95","Deutschland","Xetra","EUR"
"PRX","PROSUS NV CLASS N","Zyklische Konsumgüter ","Aktien","57.074.132,88","0,63","57.074.132,88","971.144,00","58,77","Niederlande","Euronext Amsterdam","EUR"
"RMS","HERMES INTERNATIONAL","Zyklische Konsumgüter ","Aktien","56.648.800,00","0,62","56.648.800,00","27.235,00","2.080,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BNP","BNP PARIBAS SA","Financials","Aktien","54.835.919,19","0,60","54.835.919,19","822.251,00","66,69","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CS","AXA SA","Financials","Aktien","54.283.857,30","0,60","54.283.857,30","1.433.805,00","37,86","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ENEL","ENEL","Versorger","Aktien","54.250.289,32","0,60","54.250.289,32","6.024.463,00","9,01","Italien","Borsa Italiana","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Aktien","54.141.667,20","0,59","54.141.667,20","101.313,00","534,40","Deutschland","Xetra","EUR"
"NG.","NATIONAL GRID PLC","Versorger","Aktien","53.010.801,74","0,58","53.010.801,74","3.985.743,00","13,30","Vereinigtes Königreich","London Stock Exchange","GBP"
"DG","VINCI SA","Industrie","Aktien","52.130.123,40","0,57","52.130.123,40","446.702,00","116,70","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"REL","RELX PLC","Industrie","Aktien","50.318.752,07","0,55","50.318.752,07","1.450.464,00","34,69","Vereinigtes Königreich","London Stock Exchange","GBP"
"INGA","ING GROEP NV","Financials","Aktien","49.962.173,70","0,55","49.962.173,70","2.336.865,00","21,38","Niederlande","Euronext Amsterdam","EUR"
"BARC","BARCLAYS PLC","Financials","Aktien","49.837.585,80","0,55","49.837.585,80","10.984.663,00","4,54","Vereinigtes Königreich","London Stock Exchange","GBP"
"RIO","RIO TINTO PLC","Materialien","Aktien","49.591.125,91","0,54","49.591.125,91","826.390,00","60,01","Vereinigtes Königreich","London Stock Exchange","GBP"
"BA.","BAE SYSTEMS PLC","Industrie","Aktien","47.748.774,10","0,52","47.748.774,10","2.331.082,00","20,48","Vereinigtes Königreich","London Stock Exchange","GBP"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Aktien","45.942.310,29","0,50","45.942.310,29","45.446.993,00","1,01","Vereinigtes Königreich","London Stock Exchange","GBP"
"DBK","DEUTSCHE BANK AG","Financials","Aktien","44.426.194,86","0,49","44.426.194,86","1.506.228,00","29,50","Deutschland","Xetra","EUR"
"NWG","NATWEST GROUP PLC","Financials","Aktien","42.175.214,64","0,46","42.175.214,64","6.359.451,00","6,63","Vereinigtes Königreich","London Stock Exchange","GBP"
"ABI","ANHEUSER-BUSCH INBEV SA","Nichtzyklische Konsumgüter","Aktien","41.897.727,84","0,46","41.897.727,84","796.232,00","52,62","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","41.543.556,59","0,46","41.543.556,59","41.543.557,00","100,00","Europäische Union","-","EUR"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Zyklische Konsumgüter ","Aktien","40.099.127,79","0,44","40.099.127,79","860.681,00","46,59","Spanien","Bolsa De Madrid","EUR"
"INVE B","INVESTOR CLASS B","Financials","Aktien","39.465.076,68","0,43","39.465.076,68","1.409.673,00","28,00","Schweden","Nasdaq Omx Nordic","SEK"
"BN","DANONE SA","Nichtzyklische Konsumgüter","Aktien","38.491.250,72","0,42","38.491.250,72","495.128,00","77,74","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financials","Aktien","38.011.214,67","0,42","38.011.214,67","393.230,00","96,66","Vereinigtes Königreich","London Stock Exchange","GBP"
"CPG","COMPASS GROUP PLC","Zyklische Konsumgüter ","Aktien","37.889.481,93","0,42","37.889.481,93","1.362.778,00","27,80","Vereinigtes Königreich","London Stock Exchange","GBP"
"ARGX","ARGENX","Gesundheitsversorgung","Aktien","37.191.164,60","0,41","37.191.164,60","47.161,00","788,60","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"NDA FI","NORDEA BANK","Financials","Aktien","36.790.480,30","0,40","36.790.480,30","2.546.054,00","14,45","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"SREN","SWISS RE AG","Financials","Aktien","34.967.968,24","0,38","34.967.968,24","230.679,00","151,59","Schweiz","SIX Swiss Exchange","CHF"
"RKT","RECKITT BENCKISER GROUP PLC","Nichtzyklische Konsumgüter","Aktien","34.485.240,54","0,38","34.485.240,54","522.135,00","66,05","Vereinigtes Königreich","London Stock Exchange","GBP"
"GLE","SOCIETE GENERALE SA","Financials","Aktien","34.472.116,16","0,38","34.472.116,16","610.342,00","56,48","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","33.750.293,88","0,37","33.750.293,88","1.717.622,00","19,65","Vereinigtes Königreich","London Stock Exchange","GBP"
"IFX","INFINEON TECHNOLOGIES AG","IT","Aktien","33.435.410,18","0,37","33.435.410,18","1.013.655,00","32,98","Deutschland","Xetra","EUR"
"RACE","FERRARI NV","Zyklische Konsumgüter ","Aktien","32.137.713,00","0,35","32.137.713,00","93.915,00","342,20","Italien","Borsa Italiana","EUR"
"MBG","MERCEDES-BENZ GROUP N AG","Zyklische Konsumgüter ","Aktien","31.692.526,96","0,35","31.692.526,96","560.632,00","56,53","Deutschland","Xetra","EUR"
