Fondsposition per,"18.Nov.2025"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"SAB","BANCO DE SABADELL SA","Financials","Aktien","12.741.835,52","0,14","12.741.835,52","4.132.934,00","3,08","Spanien","Bolsa De Madrid","EUR"
"SGSN","SGS SA","Industrie","Aktien","12.675.848,92","0,14","12.675.848,92","131.549,00","96,36","Schweiz","SIX Swiss Exchange","CHF"
"A5G","AIB GROUP PLC","Financials","Aktien","12.667.179,33","0,14","12.667.179,33","1.557.121,00","8,13","Irland","Irish Stock Exchange - All Market","EUR"
"SCMN","SWISSCOM AG","Kommunikation","Aktien","12.424.953,96","0,14","12.424.953,96","19.779,00","628,19","Schweiz","SIX Swiss Exchange","CHF"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrie","Aktien","12.238.303,00","0,13","12.238.303,00","158.939,00","77,00","Spanien","Bolsa De Madrid","EUR"
"SAAB B","SAAB CLASS B","Industrie","Aktien","12.193.847,73","0,13","12.193.847,73","260.253,00","46,85","Schweden","Nasdaq Omx Nordic","SEK"
"RI","PERNOD RICARD SA","Nichtzyklische Konsumgüter","Aktien","12.098.899,36","0,13","12.098.899,36","154.244,00","78,44","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HNR1","HANNOVER RUECK","Financials","Aktien","11.903.548,80","0,13","11.903.548,80","46.644,00","255,20","Deutschland","Xetra","EUR"
"LGEN","LEGAL AND GENERAL GROUP PLC","Financials","Aktien","11.812.811,40","0,13","11.812.811,40","4.433.306,00","2,66","Vereinigtes Königreich","London Stock Exchange","GBP"
"NN","NN GROUP NV","Financials","Aktien","11.742.072,72","0,13","11.742.072,72","195.636,00","60,02","Niederlande","Euronext Amsterdam","EUR"
"ABN","ABN AMRO BANK NV","Financials","Aktien","11.624.451,93","0,13","11.624.451,93","440.487,00","26,39","Niederlande","Euronext Amsterdam","EUR"
"KPN","KONINKLIJKE KPN NV","Kommunikation","Aktien","11.575.915,82","0,13","11.575.915,82","2.990.420,00","3,87","Niederlande","Euronext Amsterdam","EUR"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Aktien","11.416.536,50","0,13","11.416.536,50","658.678,00","17,33","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"EQNR","EQUINOR","Energie","Aktien","11.369.848,41","0,12","11.369.848,41","552.047,00","20,60","Norwegen","Oslo Bors Asa","NOK"
"BAMI","BANCO BPM","Financials","Aktien","11.178.034,48","0,12","11.178.034,48","888.556,00","12,58","Italien","Borsa Italiana","EUR"
"MRK","MERCK","Gesundheitsversorgung","Aktien","11.090.194,50","0,12","11.090.194,50","99.330,00","111,65","Deutschland","Xetra","EUR"
"MT","ARCELORMITTAL SA","Materialien","Aktien","11.022.309,86","0,12","11.022.309,86","325.046,00","33,91","Frankreich","Euronext Amsterdam","EUR"
"LOGN","LOGITECH INTERNATIONAL SA","IT","Aktien","10.980.754,95","0,12","10.980.754,95","113.019,00","97,16","Schweiz","SIX Swiss Exchange","CHF"
"HLMA","HALMA PLC","IT","Aktien","10.972.851,84","0,12","10.972.851,84","290.019,00","37,83","Vereinigtes Königreich","London Stock Exchange","GBP"
"BPE","BPER BANCA","Financials","Aktien","10.778.325,67","0,12","10.778.325,67","1.069.809,00","10,07","Italien","Borsa Italiana","EUR"
"BIRG","BANK OF IRELAND GROUP PLC","Financials","Aktien","10.760.705,20","0,12","10.760.705,20","722.680,00","14,89","Irland","Irish Stock Exchange - All Market","EUR"
"TEF","TELEFONICA SA","Kommunikation","Aktien","10.749.158,24","0,12","10.749.158,24","2.959.570,00","3,63","Spanien","Bolsa De Madrid","EUR"
"INF","INFORMA PLC","Kommunikation","Aktien","10.672.447,25","0,12","10.672.447,25","1.033.918,00","10,32","Vereinigtes Königreich","London Stock Exchange","GBP"
"SHL","SIEMENS HEALTHINEERS AG","Gesundheitsversorgung","Aktien","10.482.166,49","0,12","10.482.166,49","252.157,00","41,57","Deutschland","Xetra","EUR"
"ESSITY B","ESSITY CLASS B","Nichtzyklische Konsumgüter","Aktien","10.464.928,56","0,11","10.464.928,56","447.487,00","23,39","Schweden","Nasdaq Omx Nordic","SEK"
"PKN","ORLEN SA","Energie","Aktien","10.411.391,61","0,11","10.411.391,61","438.706,00","23,73","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Versorger","Aktien","10.276.355,35","0,11","10.276.355,35","1.133.005,00","9,07","Italien","Borsa Italiana","EUR"
"LISP","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Nichtzyklische Konsumgüter","Aktien","9.960.874,84","0,11","9.960.874,84","769,00","12.953,03","Schweiz","SIX Swiss Exchange","CHF"
"STMMI","STMICROELECTRONICS NV","IT","Aktien","9.960.881,62","0,11","9.960.881,62","516.965,00","19,27","Frankreich","Borsa Italiana","EUR"
"FBK","FINECOBANK BANCA FINECO","Financials","Aktien","9.957.689,82","0,11","9.957.689,82","481.746,00","20,67","Italien","Borsa Italiana","EUR"
"DSFIR","DSM FIRMENICH AG","Materialien","Aktien","9.927.922,36","0,11","9.927.922,36","141.706,00","70,06","Niederlande","Euronext Amsterdam","EUR"
"BAER","JULIUS BAER GRUPPE AG","Financials","Aktien","9.795.936,80","0,11","9.795.936,80","161.787,00","60,55","Schweiz","SIX Swiss Exchange","CHF"
"WRT1V","WARTSILA","Industrie","Aktien","9.782.612,70","0,11","9.782.612,70","381.835,00","25,62","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"BT.A","BT GROUP PLC","Kommunikation","Aktien","9.707.228,32","0,11","9.707.228,32","4.832.752,00","2,01","Vereinigtes Königreich","London Stock Exchange","GBP"
"CLNX","CELLNEX TELECOM SA","Kommunikation","Aktien","9.690.835,20","0,11","9.690.835,20","383.340,00","25,28","Spanien","Bolsa De Madrid","EUR"
"MONC","MONCLER","Zyklische Konsumgüter ","Aktien","9.662.202,24","0,11","9.662.202,24","174.534,00","55,36","Italien","Borsa Italiana","EUR"
"KRZ","KERRY GROUP PLC","Nichtzyklische Konsumgüter","Aktien","9.650.529,90","0,11","9.650.529,90","125.169,00","77,10","Irland","Irish Stock Exchange - All Market","EUR"
"SN.","SMITH AND NEPHEW PLC","Gesundheitsversorgung","Aktien","9.618.263,58","0,11","9.618.263,58","684.342,00","14,05","Vereinigtes Königreich","London Stock Exchange","GBP"
"SCHP","SCHINDLER HOLDING PAR AG","Industrie","Aktien","9.554.966,45","0,10","9.554.966,45","31.584,00","302,53","Schweiz","SIX Swiss Exchange","CHF"
"UPM","UPM-KYMMENE","Materialien","Aktien","9.437.576,12","0,10","9.437.576,12","413.566,00","22,82","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"STMN","STRAUMANN HOLDING AG","Gesundheitsversorgung","Aktien","9.237.677,93","0,10","9.237.677,93","90.010,00","102,63","Schweiz","SIX Swiss Exchange","CHF"
"COLO B","COLOPLAST B","Gesundheitsversorgung","Aktien","9.179.087,54","0,10","9.179.087,54","118.734,00","77,31","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SGE","THE SAGE GROUP PLC","IT","Aktien","9.145.149,84","0,10","9.145.149,84","748.947,00","12,21","Vereinigtes Königreich","London Stock Exchange","GBP"
"SRG","SNAM","Versorger","Aktien","9.114.344,42","0,10","9.114.344,42","1.601.818,00","5,69","Italien","Borsa Italiana","EUR"
"ANTO","ANTOFAGASTA PLC","Materialien","Aktien","9.053.371,73","0,10","9.053.371,73","302.533,00","29,93","Vereinigtes Königreich","London Stock Exchange","GBP"
"ALFA","ALFA LAVAL","Industrie","Aktien","9.014.429,26","0,10","9.014.429,26","227.492,00","39,63","Schweden","Nasdaq Omx Nordic","SEK"
"EN","BOUYGUES SA","Industrie","Aktien","8.773.558,24","0,10","8.773.558,24","212.332,00","41,32","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"FGR","EIFFAGE SA","Industrie","Aktien","8.486.676,45","0,09","8.486.676,45","76.491,00","110,95","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HEN3","HENKEL & KGAA PREF AG","Nichtzyklische Konsumgüter","Aktien","8.449.323,50","0,09","8.449.323,50","121.573,00","69,50","Deutschland","Xetra","EUR"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Versorger","Aktien","8.447.743,05","0,09","8.447.743,05","2.227.193,00","3,79","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"EPI A","EPIROC CLASS A","Industrie","Aktien","8.338.021,32","0,09","8.338.021,32","485.195,00","17,18","Schweden","Nasdaq Omx Nordic","SEK"
"ELE","ENDESA SA","Versorger","Aktien","8.123.063,85","0,09","8.123.063,85","254.243,00","31,95","Spanien","Bolsa De Madrid","EUR"
"RTO","RENTOKIL INITIAL PLC","Industrie","Aktien","8.117.231,40","0,09","8.117.231,40","1.801.731,00","4,51","Vereinigtes Königreich","London Stock Exchange","GBP"
"BOL","BOLIDEN","Materialien","Aktien","8.095.456,96","0,09","8.095.456,96","215.945,00","37,49","Schweden","Nasdaq Omx Nordic","SEK"
"IAG","INTERNATIONAL AIRLINES GROUP SA","Industrie","Aktien","8.089.042,07","0,09","8.089.042,07","1.919.750,00","4,21","Spanien","London Stock Exchange","GBP"
"SPSN","SWISS PRIME SITE AG","Immobilien","Aktien","8.021.348,83","0,09","8.021.348,83","63.900,00","125,53","Schweiz","SIX Swiss Exchange","CHF"
"SOON","SONOVA HOLDING AG","Gesundheitsversorgung","Aktien","7.992.117,92","0,09","7.992.117,92","38.043,00","210,08","Schweiz","SIX Swiss Exchange","CHF"
"ENX","EURONEXT NV","Financials","Aktien","7.845.868,80","0,09","7.845.868,80","61.488,00","127,60","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"KRX","KINGSPAN GROUP PLC","Industrie","Aktien","7.683.135,00","0,08","7.683.135,00","119.675,00","64,20","Irland","Irish Stock Exchange - All Market","EUR"
"CNA","CENTRICA PLC","Versorger","Aktien","7.620.321,51","0,08","7.620.321,51","4.018.550,00","1,90","Vereinigtes Königreich","London Stock Exchange","GBP"
"PST","POSTE ITALIANE","Financials","Aktien","7.521.131,15","0,08","7.521.131,15","360.035,00","20,89","Italien","Borsa Italiana","EUR"
"CARL B","CARLSBERG AS CL B","Nichtzyklische Konsumgüter","Aktien","7.426.627,13","0,08","7.426.627,13","73.235,00","101,41","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Immobilien","Aktien","7.410.382,28","0,08","7.410.382,28","81.937,00","90,44","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SGRO","SEGRO REIT PLC","Immobilien","Aktien","7.361.825,16","0,08","7.361.825,16","924.631,00","7,96","Vereinigtes Königreich","London Stock Exchange","GBP"
"AKZA","AKZO NOBEL NV","Materialien","Aktien","7.359.550,00","0,08","7.359.550,00","133.810,00","55,00","Niederlande","Euronext Amsterdam","EUR"
"SY1","SYMRISE AG","Materialien","Aktien","7.328.095,66","0,08","7.328.095,66","104.717,00","69,98","Deutschland","Xetra","EUR"
"AC","ACCOR SA","Zyklische Konsumgüter ","Aktien","7.272.472,35","0,08","7.272.472,35","162.151,00","44,85","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ADM","ADMIRAL GROUP PLC","Financials","Aktien","7.269.176,29","0,08","7.269.176,29","202.196,00","35,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"SMIN","SMITHS GROUP PLC","Industrie","Aktien","7.240.174,62","0,08","7.240.174,62","261.048,00","27,73","Vereinigtes Königreich","London Stock Exchange","GBP"
"BESI","BE SEMICONDUCTOR INDUSTRIES NV","IT","Aktien","7.190.968,25","0,08","7.190.968,25","56.555,00","127,15","Niederlande","Euronext Amsterdam","EUR"
"BALN","BALOISE HOLDING AG","Financials","Aktien","7.189.355,39","0,08","7.189.355,39","32.499,00","221,22","Schweiz","SIX Swiss Exchange","CHF"
"UU.","UNITED UTILITIES GROUP PLC","Versorger","Aktien","7.185.110,50","0,08","7.185.110,50","537.478,00","13,37","Vereinigtes Königreich","London Stock Exchange","GBP"
"AGS","AGEAS SA","Financials","Aktien","7.115.673,60","0,08","7.115.673,60","123.536,00","57,60","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"KOG","KONGSBERG GRUPPEN","Industrie","Aktien","6.935.254,13","0,08","6.935.254,13","335.275,00","20,69","Norwegen","Oslo Bors Asa","NOK"
"VACN","VAT GROUP AG","Industrie","Aktien","6.871.297,26","0,08","6.871.297,26","20.474,00","335,61","Schweiz","SIX Swiss Exchange","CHF"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrie","Aktien","6.862.527,59","0,08","6.862.527,59","42.229,00","162,51","Schweiz","SIX Swiss Exchange","CHF"
"ITRK","INTERTEK GROUP PLC","Industrie","Aktien","6.844.854,00","0,08","6.844.854,00","126.291,00","54,20","Vereinigtes Königreich","London Stock Exchange","GBP"
"BVI","BUREAU VERITAS SA","Industrie","Aktien","6.831.553,72","0,08","6.831.553,72","248.782,00","27,46","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"G1A","GEA GROUP AG","Industrie","Aktien","6.747.668,80","0,07","6.747.668,80","116.944,00","57,70","Deutschland","Xetra","EUR"
"BG","BAWAG GROUP AG","Financials","Aktien","6.724.719,70","0,07","6.724.719,70","61.301,00","109,70","Österreich","Wiener Boerse Ag","EUR"
"FORTUM","FORTUM","Versorger","Aktien","6.668.975,95","0,07","6.668.975,95","357.490,00","18,66","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"METSO","METSO CORPORATION","Industrie","Aktien","6.601.203,67","0,07","6.601.203,67","486.994,00","13,56","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"FME","FRESENIUS MEDICAL CARE AG","Gesundheitsversorgung","Aktien","6.584.164,36","0,07","6.584.164,36","166.099,00","39,64","Deutschland","Xetra","EUR"
"BKT","BANKINTER SA","Financials","Aktien","6.573.500,30","0,07","6.573.500,30","501.220,00","13,12","Spanien","Bolsa De Madrid","EUR"
"MRO","MELROSE INDUSTRIES PLC","Industrie","Aktien","6.547.961,38","0,07","6.547.961,38","958.478,00","6,83","Vereinigtes Königreich","London Stock Exchange","GBP"
"QIA","QIAGEN NV","Gesundheitsversorgung","Aktien","6.465.090,69","0,07","6.465.090,69","171.238,00","37,76","Deutschland","Deutsche Börse AG","EUR"
"CCH","COCA COLA HBC AG","Nichtzyklische Konsumgüter","Aktien","6.427.495,33","0,07","6.427.495,33","158.386,00","40,58","Vereinigtes Königreich","London Stock Exchange","GBP"
"AGN","AEGON LTD","Financials","Aktien","6.412.745,28","0,07","6.412.745,28","981.743,00","6,53","Niederlande","Euronext Amsterdam","EUR"
"MOWI","MOWI","Nichtzyklische Konsumgüter","Aktien","6.360.918,65","0,07","6.360.918,65","343.683,00","18,51","Norwegen","Oslo Bors Asa","NOK"
"DPLM","DIPLOMA PLC","Industrie","Aktien","6.355.112,39","0,07","6.355.112,39","105.862,00","60,03","Vereinigtes Königreich","London Stock Exchange","GBP"
"EVO","EVOLUTION","Zyklische Konsumgüter ","Aktien","6.337.138,59","0,07","6.337.138,59","112.923,00","56,12","Schweden","Nasdaq Omx Nordic","SEK"
"BEI","BEIERSDORF AG","Nichtzyklische Konsumgüter","Aktien","6.288.105,74","0,07","6.288.105,74","70.637,00","89,02","Deutschland","Xetra","EUR"
"SVT","SEVERN TRENT PLC","Versorger","Aktien","6.217.353,37","0,07","6.217.353,37","201.794,00","30,81","Vereinigtes Königreich","London Stock Exchange","GBP"
"PZU","PZU SA","Financials","Aktien","6.208.099,47","0,07","6.208.099,47","446.265,00","13,91","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"CA","CARREFOUR SA","Nichtzyklische Konsumgüter","Aktien","6.170.801,75","0,07","6.170.801,75","475.775,00","12,97","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energie","Aktien","6.134.909,76","0,07","6.134.909,76","339.696,00","18,06","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"MKS","MARKS AND SPENCER GROUP PLC","Nichtzyklische Konsumgüter","Aktien","6.132.430,03","0,07","6.132.430,03","1.578.695,00","3,88","Vereinigtes Königreich","London Stock Exchange","GBP"
"BNZL","BUNZL","Industrie","Aktien","6.123.379,12","0,07","6.123.379,12","256.459,00","23,88","Vereinigtes Königreich","London Stock Exchange","GBP"
"WEIR","WEIR GROUP PLC","Industrie","Aktien","6.090.834,60","0,07","6.090.834,60","196.027,00","31,07","Vereinigtes Königreich","London Stock Exchange","GBP"
"BEAN","BELIMO N AG","Industrie","Aktien","6.054.765,27","0,07","6.054.765,27","7.542,00","802,81","Schweiz","SIX Swiss Exchange","CHF"
"WISE","WISE PLC CLASS A","Financials","Aktien","6.038.819,32","0,07","6.038.819,32","594.568,00","10,16","Vereinigtes Königreich","London Stock Exchange","GBP"
"PEO","BANK PEKAO SA","Financials","Aktien","6.003.933,15","0,07","6.003.933,15","135.790,00","44,21","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"STJ","ST JAMESS PLACE PLC","Financials","Aktien","5.990.529,73","0,07","5.990.529,73","406.533,00","14,74","Vereinigtes Königreich","London Stock Exchange","GBP"
"NHY","NORSK HYDRO","Materialien","Aktien","5.970.284,02","0,07","5.970.284,02","1.000.624,00","5,97","Norwegen","Oslo Bors Asa","NOK"
"MAERSK B","A P MOLLER MAERSK B","Industrie","Aktien","5.959.995,24","0,07","5.959.995,24","3.574,00","1.667,60","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ORSTED","ORSTED A/S","Versorger","Aktien","5.951.495,66","0,07","5.951.495,66","351.806,00","16,92","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"TEL","TELENOR","Kommunikation","Aktien","5.944.586,44","0,07","5.944.586,44","487.847,00","12,19","Norwegen","Oslo Bors Asa","NOK"
"NESTE","NESTE","Energie","Aktien","5.935.830,60","0,07","5.935.830,60","335.832,00","17,68","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"SKA B","SKANSKA B","Industrie","Aktien","5.919.264,22","0,07","5.919.264,22","271.704,00","21,79","Schweden","Nasdaq Omx Nordic","SEK"
"LI","KLEPIERRE REIT SA","Immobilien","Aktien","5.896.613,52","0,06","5.896.613,52","176.757,00","33,36","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ASRNL","ASR NEDERLAND NV","Financials","Aktien","5.888.507,04","0,06","5.888.507,04","103.416,00","56,94","Niederlande","Euronext Amsterdam","EUR"
"HM B","HENNES & MAURITZ","Zyklische Konsumgüter ","Aktien","5.852.061,14","0,06","5.852.061,14","371.815,00","15,74","Schweden","Nasdaq Omx Nordic","SEK"
"TELIA","TELIA COMPANY","Kommunikation","Aktien","5.832.394,00","0,06","5.832.394,00","1.744.964,00","3,34","Schweden","Nasdaq Omx Nordic","SEK"
"ALO","ALSTOM SA","Industrie","Aktien","5.827.709,16","0,06","5.827.709,16","260.631,00","22,36","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HELN","HELVETIA HOLDING AG","Financials","Aktien","5.822.051,78","0,06","5.822.051,78","26.578,00","219,06","Schweiz","SIX Swiss Exchange","CHF"
"SPIE","SPIE SA","Industrie","Aktien","5.740.924,56","0,06","5.740.924,56","133.572,00","42,98","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PSON","PEARSON PLC","Zyklische Konsumgüter ","Aktien","5.676.880,92","0,06","5.676.880,92","498.997,00","11,38","Vereinigtes Königreich","London Stock Exchange","GBP"
"TEL2 B","TELE2 B","Kommunikation","Aktien","5.670.110,43","0,06","5.670.110,43","431.707,00","13,13","Schweden","Nasdaq Omx Nordic","SEK"
"SKF B","SKF B","Industrie","Aktien","5.656.508,64","0,06","5.656.508,64","266.312,00","21,24","Schweden","Nasdaq Omx Nordic","SEK"
"PNDORA","PANDORA","Zyklische Konsumgüter ","Aktien","5.594.682,46","0,06","5.594.682,46","56.513,00","99,00","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"UNI","UNIPOL ASSICURAZIONI SPA","Financials","Aktien","5.551.364,70","0,06","5.551.364,70","293.723,00","18,90","Italien","Borsa Italiana","EUR"
"ADDT B","ADDTECH CLASS B","Industrie","Aktien","5.521.151,60","0,06","5.521.151,60","200.006,00","27,60","Schweden","Nasdaq Omx Nordic","SEK"
"IMI","IMI PLC","Industrie","Aktien","5.510.987,93","0,06","5.510.987,93","203.361,00","27,10","Vereinigtes Königreich","London Stock Exchange","GBP"
"RNO","RENAULT SA","Zyklische Konsumgüter ","Aktien","5.482.460,39","0,06","5.482.460,39","160.259,00","34,21","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ABF","ASSOCIATED BRITISH FOODS PLC","Nichtzyklische Konsumgüter","Aktien","5.475.940,43","0,06","5.475.940,43","231.544,00","23,65","Vereinigtes Königreich","London Stock Exchange","GBP"
"HEIO","HEINEKEN HOLDING NV","Nichtzyklische Konsumgüter","Aktien","5.435.005,40","0,06","5.435.005,40","90.508,00","60,05","Niederlande","Euronext Amsterdam","EUR"
"MNG","M&G PLC","Financials","Aktien","5.367.758,09","0,06","5.367.758,09","1.798.497,00","2,98","Vereinigtes Königreich","London Stock Exchange","GBP"
"RXL","REXEL SA","Industrie","Aktien","5.356.912,66","0,06","5.356.912,66","175.177,00","30,58","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SOBI","SWEDISH ORPHAN BIOVITRUM","Gesundheitsversorgung","Aktien","5.353.218,55","0,06","5.353.218,55","177.334,00","30,19","Schweden","Nasdaq Omx Nordic","SEK"
"PSPN","PSP SWISS PROPERTY AG","Immobilien","Aktien","5.311.522,32","0,06","5.311.522,32","35.190,00","150,94","Schweiz","SIX Swiss Exchange","CHF"
"TREL B","TRELLEBORG B","Industrie","Aktien","5.280.597,49","0,06","5.280.597,49","153.885,00","34,32","Schweden","Nasdaq Omx Nordic","SEK"
"LIFCO B","LIFCO CLASS B","Industrie","Aktien","5.277.172,95","0,06","5.277.172,95","172.017,00","30,68","Schweden","Nasdaq Omx Nordic","SEK"
"ERF","EUROFINS SCIENTIFIC","Gesundheitsversorgung","Aktien","5.248.830,00","0,06","5.248.830,00","91.284,00","57,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BCP","BANCO COMERCIAL PORTUGUES SA","Financials","Aktien","5.247.904,09","0,06","5.247.904,09","6.668.239,00","0,79","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"TRYG","TRYG","Financials","Aktien","5.242.273,22","0,06","5.242.273,22","247.182,00","21,21","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"BAB","BABCOCK INTERNATIONAL GROUP PLC","Industrie","Aktien","5.241.238,87","0,06","5.241.238,87","399.184,00","13,13","Vereinigtes Königreich","London Stock Exchange","GBP"
"ORK","ORKLA","Nichtzyklische Konsumgüter","Aktien","5.240.791,18","0,06","5.240.791,18","590.238,00","8,88","Norwegen","Oslo Bors Asa","NOK"
"G24","SCOUT24 N","Kommunikation","Aktien","5.197.180,35","0,06","5.197.180,35","59.979,00","86,65","Deutschland","Xetra","EUR"
"OMV","OMV AG","Energie","Aktien","5.184.814,76","0,06","5.184.814,76","108.062,00","47,98","Österreich","Wiener Boerse Ag","EUR"
"TLX","TALANX AG","Financials","Aktien","5.181.294,20","0,06","5.181.294,20","47.666,00","108,70","Deutschland","Xetra","EUR"
"EXO","EXOR NV","Financials","Aktien","5.181.584,70","0,06","5.181.584,70","72.318,00","71,65","Niederlande","Euronext Amsterdam","EUR"
"ACLN","ACCELLERON N AG","Industrie","Aktien","5.116.089,09","0,06","5.116.089,09","76.196,00","67,14","Schweiz","SIX Swiss Exchange","CHF"
"AUTO","AUTO TRADER GROUP PLC","Kommunikation","Aktien","5.105.829,45","0,06","5.105.829,45","668.932,00","7,63","Vereinigtes Königreich","London Stock Exchange","GBP"
"AKRBP","AKER BP","Energie","Aktien","5.068.253,06","0,06","5.068.253,06","230.178,00","22,02","Norwegen","Oslo Bors Asa","NOK"
"CON","CONTINENTAL AG","Zyklische Konsumgüter ","Aktien","5.024.212,48","0,06","5.024.212,48","81.088,00","61,96","Deutschland","Xetra","EUR"
"ICG","ICG PLC","Financials","Aktien","5.020.716,53","0,06","5.020.716,53","224.239,00","22,39","Vereinigtes Königreich","London Stock Exchange","GBP"
"SBRY","SAINSBURY(J) PLC","Nichtzyklische Konsumgüter","Aktien","4.970.111,99","0,05","4.970.111,99","1.375.516,00","3,61","Vereinigtes Königreich","London Stock Exchange","GBP"
"SECU B","SECURITAS B","Industrie","Aktien","4.942.175,00","0,05","4.942.175,00","390.616,00","12,65","Schweden","Nasdaq Omx Nordic","SEK"
"ORNBV","ORION CLASS B","Gesundheitsversorgung","Aktien","4.861.995,75","0,05","4.861.995,75","82.059,00","59,25","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"PHNX","PHOENIX GROUP HOLDINGS PLC","Financials","Aktien","4.837.060,86","0,05","4.837.060,86","646.798,00","7,48","Vereinigtes Königreich","London Stock Exchange","GBP"
"BEZ","BEAZLEY PLC","Financials","Aktien","4.792.117,05","0,05","4.792.117,05","474.738,00","10,09","Vereinigtes Königreich","London Stock Exchange","GBP"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Aktien","4.754.173,50","0,05","4.754.173,50","65.215,00","72,90","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"KGH","KGHM POLSKA MIEDZ SA","Materialien","Aktien","4.749.526,32","0,05","4.749.526,32","106.652,00","44,53","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"GAW","GAMES WORKSHOP GROUP PLC","Zyklische Konsumgüter ","Aktien","4.704.490,00","0,05","4.704.490,00","25.797,00","182,36","Vereinigtes Königreich","London Stock Exchange","GBP"
"JMT","JERONIMO MARTINS SA","Nichtzyklische Konsumgüter","Aktien","4.695.989,70","0,05","4.695.989,70","220.469,00","21,30","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"BTRW","BARRATT REDROW PLC","Zyklische Konsumgüter ","Aktien","4.695.363,40","0,05","4.695.363,40","1.105.111,00","4,25","Vereinigtes Königreich","London Stock Exchange","GBP"
"IG","ITALGAS","Versorger","Aktien","4.679.939,27","0,05","4.679.939,27","496.019,00","9,44","Italien","Borsa Italiana","EUR"
"KGF","KINGFISHER PLC","Zyklische Konsumgüter ","Aktien","4.660.411,10","0,05","4.660.411,10","1.409.796,00","3,31","Vereinigtes Königreich","London Stock Exchange","GBP"
"GTT","GAZTRANSPORT & TECHNIGAZ SA","Energie","Aktien","4.656.246,50","0,05","4.656.246,50","26.381,00","176,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ELISA","ELISA","Kommunikation","Aktien","4.638.703,20","0,05","4.638.703,20","121.305,00","38,24","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"TEN","TENARIS SA","Energie","Aktien","4.583.474,10","0,05","4.583.474,10","267.570,00","17,13","Italien","Borsa Italiana","EUR"
"BNR","BRENNTAG","Industrie","Aktien","4.572.678,87","0,05","4.572.678,87","96.409,00","47,43","Deutschland","Xetra","EUR"
"STERV","STORA ENSO CLASS R","Materialien","Aktien","4.501.903,29","0,05","4.501.903,29","464.401,00","9,69","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"SCA B","SVENSKA CELLULOSA B","Materialien","Aktien","4.478.573,41","0,05","4.478.573,41","415.483,00","10,78","Schweden","Nasdaq Omx Nordic","SEK"
