Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung,ISIN
BP.,BP PLC,Energie,Aktien,"66.060.176,94","0,71","66.060.176,94","12.786.006,00","5,17",Vereinigtes Königreich,London Stock Exchange,GBP,GB0007980591
ISP,INTESA SANPAOLO,Financials,Aktien,"63.195.646,85","0,68","63.195.646,85","11.317.272,00","5,58",Italien,Borsa Italiana,EUR,IT0000072618
ENR,SIEMENS ENERGY N AG,Industrie,Aktien,"61.917.570,00","0,66","61.917.570,00","551.850,00","112,20",Deutschland,Xetra,EUR,DE000ENER6Y0
BNP,BNP PARIBAS SA,Financials,Aktien,"59.663.934,14","0,64","59.663.934,14","824.771,00","72,34",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000131104
RMS,HERMES INTERNATIONAL,Zyklische Konsumgüter ,Aktien,"58.754.565,00","0,63","58.754.565,00","27.315,00","2.151,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000052292
CS,AXA SA,Financials,Aktien,"55.716.061,70","0,60","55.716.061,70","1.438.205,00","38,74",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120628
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Financials,Aktien,"55.181.289,00","0,59","55.181.289,00","101.623,00","543,00",Deutschland,Xetra,EUR,DE0008430026
DG,VINCI SA,Industrie,Aktien,"54.687.187,60","0,59","54.687.187,60","448.072,00","122,05",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000125486
PRX,PROSUS NV CLASS N,Zyklische Konsumgüter ,Aktien,"53.966.469,60","0,58","53.966.469,60","974.124,00","55,40",Niederlande,Euronext Amsterdam,EUR,NL0013654783
ENEL,ENEL,Versorger,Aktien,"53.359.363,29","0,57","53.359.363,29","6.042.963,00","8,83",Italien,Borsa Italiana,EUR,IT0003128367
RHM,RHEINMETALL AG,Industrie,Aktien,"53.320.557,00","0,57","53.320.557,00","35.654,00","1.495,50",Deutschland,Xetra,EUR,DE0007030009
BARC,BARCLAYS PLC,Financials,Aktien,"53.186.574,00","0,57","53.186.574,00","11.018.403,00","4,83",Vereinigtes Königreich,London Stock Exchange,GBP,GB0031348658
INGA,ING GROEP NV,Financials,Aktien,"52.494.887,77","0,56","52.494.887,77","2.344.045,00","22,40",Niederlande,Euronext Amsterdam,EUR,NL0011821202
NG.,NATIONAL GRID PLC,Versorger,Aktien,"51.765.553,72","0,55","51.765.553,72","3.997.993,00","12,95",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BDR05C01
RIO,RIO TINTO PLC,Materialien,Aktien,"51.663.564,69","0,55","51.663.564,69","828.930,00","62,33",Vereinigtes Königreich,London Stock Exchange,GBP,GB0007188757
REL,RELX PLC,Industrie,Aktien,"50.279.103,80","0,54","50.279.103,80","1.454.914,00","34,56",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B2B0DG97
LLOY,LLOYDS BANKING GROUP PLC,Financials,Aktien,"48.652.182,37","0,52","48.652.182,37","45.446.993,00","1,07",Vereinigtes Königreich,London Stock Exchange,GBP,GB0008706128
DBK,DEUTSCHE BANK AG,Financials,Aktien,"46.277.580,54","0,50","46.277.580,54","1.510.858,00","30,63",Deutschland,Xetra,EUR,DE0005140008
NWG,NATWEST GROUP PLC,Financials,Aktien,"45.021.210,33","0,48","45.021.210,33","6.379.011,00","7,06",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BM8PJY71
BA.,BAE SYSTEMS PLC,Industrie,Aktien,"43.871.815,28","0,47","43.871.815,28","2.338.242,00","18,76",Vereinigtes Königreich,London Stock Exchange,GBP,GB0002634946
ABI,ANHEUSER-BUSCH INBEV SA,Nichtzyklische Konsumgüter,Aktien,"42.665.592,44","0,46","42.665.592,44","798.682,00","53,42",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0974293251
ITX,INDUSTRIA DE DISENO TEXTIL SA,Zyklische Konsumgüter ,Aktien,"41.482.574,05","0,44","41.482.574,05","863.321,00","48,05",Spanien,Bolsa De Madrid,EUR,ES0148396007
INVE B,INVESTOR CLASS B,Financials,Aktien,"41.276.842,79","0,44","41.276.842,79","1.414.013,00","29,19",Schweden,Nasdaq Omx Nordic,SEK,SE0015811963
EUR,EUR CASH,Cash und/oder Derivate,Geldmarkt,"40.069.710,93","0,43","40.069.710,93","40.069.711,00","100,00",Europäische Union,-,EUR,
LSEG,LONDON STOCK EXCHANGE GROUP PLC,Financials,Aktien,"40.019.996,41","0,43","40.019.996,41","394.440,00","101,46",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B0SWJX34
NDA FI,NORDEA BANK,Financials,Aktien,"38.908.575,09","0,42","38.908.575,09","2.553.894,00","15,23",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI4000297767
BN,DANONE SA,Nichtzyklische Konsumgüter,Aktien,"38.490.220,00","0,41","38.490.220,00","496.648,00","77,50",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120644
ARGX,ARGENX,Gesundheitsversorgung,Aktien,"37.717.817,40","0,40","37.717.817,40","47.301,00","797,40",Belgien,Nyse Euronext - Euronext Brussels,EUR,NL0010832176
CPG,COMPASS GROUP PLC,Zyklische Konsumgüter ,Aktien,"36.989.991,91","0,40","36.989.991,91","1.366.968,00","27,06",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BD6K4575
GLE,SOCIETE GENERALE SA,Financials,Aktien,"36.427.209,00","0,39","36.427.209,00","612.222,00","59,50",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000130809
IFX,INFINEON TECHNOLOGIES AG,IT,Aktien,"35.373.602,25","0,38","35.373.602,25","1.016.775,00","34,79",Deutschland,Xetra,EUR,DE0006231004
RKT,RECKITT BENCKISER GROUP PLC,Nichtzyklische Konsumgüter,Aktien,"35.218.322,84","0,38","35.218.322,84","523.735,00","67,24",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B24CGK77
SREN,SWISS RE AG,Financials,Aktien,"34.816.826,72","0,37","34.816.826,72","231.389,00","150,47",Schweiz,SIX Swiss Exchange,CHF,CH0126881561
DGE,DIAGEO PLC,Nichtzyklische Konsumgüter,Aktien,"33.752.134,10","0,36","33.752.134,10","1.722.912,00","19,59",Vereinigtes Königreich,London Stock Exchange,GBP,GB0002374006
SGO,COMPAGNIE DE SAINT GOBAIN SA,Industrie,Aktien,"33.313.984,20","0,36","33.313.984,20","386.922,00","86,10",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000125007
HOLN,HOLCIM LTD AG,Materialien,Aktien,"32.809.624,65","0,35","32.809.624,65","411.331,00","79,76",Schweiz,SIX Swiss Exchange,CHF,CH0012214059
DB1,DEUTSCHE BOERSE AG,Financials,Aktien,"32.442.440,50","0,35","32.442.440,50","146.467,00","221,50",Deutschland,Xetra,EUR,DE0005810055
MBG,MERCEDES-BENZ GROUP N AG,Zyklische Konsumgüter ,Aktien,"32.335.240,00","0,35","32.335.240,00","562.352,00","57,50",Deutschland,Xetra,EUR,DE0007100000
DHL,DEUTSCHE POST AG,Industrie,Aktien,"32.325.704,43","0,35","32.325.704,43","721.717,00","44,79",Deutschland,Xetra,EUR,DE0005552004
LONN,LONZA GROUP AG,Gesundheitsversorgung,Aktien,"31.785.073,57","0,34","31.785.073,57","54.860,00","579,38",Schweiz,SIX Swiss Exchange,CHF,CH0013841017
VOLV B,VOLVO CLASS B,Industrie,Aktien,"31.653.899,96","0,34","31.653.899,96","1.232.264,00","25,69",Schweden,Nasdaq Omx Nordic,SEK,SE0000115446
ENGI,ENGIE SA,Versorger,Aktien,"31.538.543,22","0,34","31.538.543,22","1.444.734,00","21,83",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010208488
RACE,FERRARI NV,Zyklische Konsumgüter ,Aktien,"31.351.424,00","0,34","31.351.424,00","94.205,00","332,80",Italien,Borsa Italiana,EUR,NL0011585146
BAS,BASF N,Materialien,Aktien,"30.976.899,56","0,33","30.976.899,56","694.238,00","44,62",Deutschland,Xetra,EUR,DE000BASF111
ADYEN,ADYEN NV,Financials,Aktien,"30.760.270,40","0,33","30.760.270,40","22.952,00","1.340,20",Niederlande,Euronext Amsterdam,EUR,NL0012969182
GLEN,GLENCORE PLC,Materialien,Aktien,"30.088.092,26","0,32","30.088.092,26","7.531.305,00","4,00",Vereinigtes Königreich,London Stock Exchange,GBP,JE00B4T3BW64
DSV,DSV,Industrie,Aktien,"29.303.657,07","0,31","29.303.657,07","153.908,00","190,40",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060079531
HLN,HALEON PLC,Gesundheitsversorgung,Aktien,"29.094.553,02","0,31","29.094.553,02","6.875.078,00","4,23",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BMX86B70
G,ASSICURAZIONI GENERALI,Financials,Aktien,"28.330.426,80","0,30","28.330.426,80","831.780,00","34,06",Italien,Borsa Italiana,EUR,IT0000062072
ATCO A,ATLAS COPCO CLASS A,Industrie,Aktien,"28.257.575,45","0,30","28.257.575,45","1.992.406,00","14,18",Schweden,Nasdaq Omx Nordic,SEK,SE0017486889
III,3I GROUP PLC,Financials,Aktien,"27.784.486,58","0,30","27.784.486,58","749.997,00","37,05",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B1YW4409
STAN,STANDARD CHARTERED PLC,Financials,Aktien,"27.686.742,92","0,30","27.686.742,92","1.474.727,00","18,77",Vereinigtes Königreich,London Stock Exchange,GBP,GB0004082847
AAL,ANGLO AMERICAN PLC,Materialien,Aktien,"27.420.239,54","0,29","27.420.239,54","843.897,00","32,49",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BTK05J60
EOAN,E.ON N,Versorger,Aktien,"26.794.845,90","0,29","26.794.845,90","1.725.916,00","15,53",Deutschland,Xetra,EUR,DE000ENAG999
ENI,ENI,Energie,Aktien,"26.682.935,98","0,29","26.682.935,98","1.669.144,00","15,99",Italien,Borsa Italiana,EUR,IT0003132476
CABK,CAIXABANK SA,Financials,Aktien,"26.663.257,06","0,29","26.663.257,06","2.799.586,00","9,52",Spanien,Bolsa De Madrid,EUR,ES0140609019
ALC,ALCON AG,Gesundheitsversorgung,Aktien,"26.657.479,14","0,29","26.657.479,14","389.171,00","68,50",Schweiz,SIX Swiss Exchange,CHF,CH0432492467
EXPN,EXPERIAN PLC,Industrie,Aktien,"26.539.167,78","0,28","26.539.167,78","701.894,00","37,81",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B19NLV48
TSCO,TESCO PLC,Nichtzyklische Konsumgüter,Aktien,"26.501.920,80","0,28","26.501.920,80","5.121.551,00","5,17",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BLGZ9862
LR,LEGRAND SA,Industrie,Aktien,"26.340.860,85","0,28","26.340.860,85","203.169,00","129,65",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010307819
AD,KONINKLIJKE AHOLD DELHAIZE NV,Nichtzyklische Konsumgüter,Aktien,"25.040.566,80","0,27","25.040.566,80","704.376,00","35,55",Niederlande,Euronext Amsterdam,EUR,NL0011794037
ASSA B,ASSA ABLOY B,Industrie,Aktien,"24.724.087,76","0,26","24.724.087,76","763.625,00","32,38",Schweden,Nasdaq Omx Nordic,SEK,SE0007100581
PRU,PRUDENTIAL PLC,Financials,Aktien,"23.400.225,70","0,25","23.400.225,70","1.896.706,00","12,34",Vereinigtes Königreich,London Stock Exchange,GBP,GB0007099541
BAYN,BAYER AG,Gesundheitsversorgung,Aktien,"23.260.769,40","0,25","23.260.769,40","766.165,00","30,36",Deutschland,Xetra,EUR,DE000BAY0017
RWE,RWE AG,Versorger,Aktien,"22.894.986,73","0,25","22.894.986,73","519.043,00","44,11",Deutschland,Xetra,EUR,DE0007037129
UCB,UCB SA,Gesundheitsversorgung,Aktien,"22.886.109,80","0,25","22.886.109,80","96.241,00","237,80",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003739530
GIVN,GIVAUDAN SA,Materialien,Aktien,"22.396.989,51","0,24","22.396.989,51","6.284,00","3.564,12",Schweiz,SIX Swiss Exchange,CHF,CH0010645932
AMS,AMADEUS IT GROUP SA,Zyklische Konsumgüter ,Aktien,"22.353.428,40","0,24","22.353.428,40","351.469,00","63,60",Spanien,Bolsa De Madrid,EUR,ES0109067019
IMB,IMPERIAL BRANDS PLC,Nichtzyklische Konsumgüter,Aktien,"22.224.720,70","0,24","22.224.720,70","594.245,00","37,40",Vereinigtes Königreich,London Stock Exchange,GBP,GB0004544929
EQT,EQT,Financials,Aktien,"21.888.436,40","0,23","21.888.436,40","730.963,00","29,94",Schweden,Nasdaq Omx Nordic,SEK,SE0012853455
FER,FERROVIAL,Industrie,Aktien,"21.791.301,60","0,23","21.791.301,60","385.960,00","56,46",Spanien,Bolsa De Madrid,EUR,NL0015001FS8
HEI,HEIDELBERG MATERIALS AG,Materialien,Aktien,"21.777.580,00","0,23","21.777.580,00","98.989,00","220,00",Deutschland,Xetra,EUR,DE0006047004
EBS,ERSTE GROUP BANK AG,Financials,Aktien,"21.731.260,90","0,23","21.731.260,90","233.921,00","92,90",Österreich,Wiener Boerse Ag,EUR,AT0000652011
ORA,ORANGE SA,Kommunikation,Aktien,"21.581.232,64","0,23","21.581.232,64","1.532.758,00","14,08",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000133308
SAND,SANDVIK,Industrie,Aktien,"21.450.574,90","0,23","21.450.574,90","825.719,00","25,98",Schweden,Nasdaq Omx Nordic,SEK,SE0000667891
SSE,SSE PLC,Versorger,Aktien,"21.309.088,44","0,23","21.309.088,44","851.785,00","25,02",Vereinigtes Königreich,London Stock Exchange,GBP,GB0007908733
SIKA,SIKA AG,Materialien,Aktien,"21.247.082,26","0,23","21.247.082,26","125.566,00","169,21",Schweiz,SIX Swiss Exchange,CHF,CH0418792922
ADS,ADIDAS N AG,Zyklische Konsumgüter ,Aktien,"21.116.248,20","0,23","21.116.248,20","132.932,00","158,85",Deutschland,Xetra,EUR,DE000A1EWWW0
SLHN,SWISS LIFE HOLDING AG,Financials,Aktien,"20.835.533,26","0,22","20.835.533,26","22.204,00","938,37",Schweiz,SIX Swiss Exchange,CHF,CH0014852781
SDZ,SANDOZ GROUP AG,Gesundheitsversorgung,Aktien,"20.798.452,95","0,22","20.798.452,95","345.807,00","60,14",Schweiz,SIX Swiss Exchange,CHF,CH1243598427
SEB A,SKANDINAVISKA ENSKILDA BANKEN,Financials,Aktien,"20.671.308,66","0,22","20.671.308,66","1.226.363,00","16,86",Schweden,Nasdaq Omx Nordic,SEK,SE0000148884
NOKIA,NOKIA,IT,Aktien,"20.636.001,52","0,22","20.636.001,52","3.950.230,00","5,22",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009000681
CBK,COMMERZBANK AG,Financials,Aktien,"20.313.959,25","0,22","20.313.959,25","589.665,00","34,45",Deutschland,Xetra,EUR,DE000CBK1001
DANSKE,DANSKE BANK,Financials,Aktien,"20.174.930,47","0,22","20.174.930,47","509.910,00","39,57",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010274414
SAMPO,SAMPO CLASS A,Financials,Aktien,"19.683.314,59","0,21","19.683.314,59","1.945.953,00","10,12",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI4000552500
PRY,PRYSMIAN,Industrie,Aktien,"19.612.104,70","0,21","19.612.104,70","230.135,00","85,22",Italien,Borsa Italiana,EUR,IT0004176001
SWED A,SWEDBANK,Financials,Aktien,"19.202.532,30","0,21","19.202.532,30","708.724,00","27,09",Schweden,Nasdaq Omx Nordic,SEK,SE0000242455
BMW,BMW AG,Zyklische Konsumgüter ,Aktien,"19.101.619,60","0,20","19.101.619,60","218.554,00","87,40",Deutschland,Xetra,EUR,DE0005190003
UMG,UNIVERSAL MUSIC GROUP NV,Kommunikation,Aktien,"18.785.001,48","0,20","18.785.001,48","854.252,00","21,99",Niederlande,Euronext Amsterdam,EUR,NL0015000IY2
ERIC B,ERICSSON B,IT,Aktien,"18.677.319,42","0,20","18.677.319,42","2.254.249,00","8,29",Schweden,Nasdaq Omx Nordic,SEK,SE0000108656
RYA,RYANAIR HOLDINGS PLC,Industrie,Aktien,"18.509.788,24","0,20","18.509.788,24","648.556,00","28,54",Irland,Irish Stock Exchange - All Market,EUR,IE00BYTBXV33
KBC,KBC GROEP,Financials,Aktien,"18.502.564,50","0,20","18.502.564,50","173.733,00","106,50",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003565737
AHT,ASHTEAD GROUP PLC,Industrie,Aktien,"18.431.251,00","0,20","18.431.251,00","336.449,00","54,78",Vereinigtes Königreich,London Stock Exchange,GBP,GB0000536739
KNEBV,KONE,Industrie,Aktien,"18.361.631,72","0,20","18.361.631,72","314.627,00","58,36",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009013403
AMRZ,AMRIZE AG,Materialien,Aktien,"18.209.741,09","0,19","18.209.741,09","420.770,00","43,28",Vereinigte Staaten,SIX Swiss Exchange,CHF,CH1430134226
GEBN,GEBERIT AG,Industrie,Aktien,"17.892.092,66","0,19","17.892.092,66","26.620,00","672,13",Schweiz,SIX Swiss Exchange,CHF,CH0030170408
GALD,GALDERMA GROUP N AG,Gesundheitsversorgung,Aktien,"17.829.983,64","0,19","17.829.983,64","104.973,00","169,85",Schweiz,SIX Swiss Exchange,CHF,CH1335392721
PGHN,PARTNERS GROUP HOLDING AG,Financials,Aktien,"17.522.456,67","0,19","17.522.456,67","17.499,00","1.001,34",Schweiz,SIX Swiss Exchange,CHF,CH0024608827
CAP,CAPGEMINI,IT,Aktien,"17.465.186,40","0,19","17.465.186,40","131.416,00","132,90",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000125338
AV.,AVIVA PLC,Financials,Aktien,"17.259.502,39","0,18","17.259.502,39","2.325.163,00","7,42",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BPQY8M80
ASM,ASM INTERNATIONAL NV,IT,Aktien,"17.219.025,60","0,18","17.219.025,60","36.008,00","478,20",Niederlande,Euronext Amsterdam,EUR,NL0000334118
WKL,WOLTERS KLUWER NV,Industrie,Aktien,"17.146.891,30","0,18","17.146.891,30","186.989,00","91,70",Niederlande,Euronext Amsterdam,EUR,NL0000395903
HO,THALES SA,Industrie,Aktien,"16.861.569,60","0,18","16.861.569,60","74.741,00","225,60",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121329
KER,KERING SA,Zyklische Konsumgüter ,Aktien,"16.662.082,90","0,18","16.662.082,90","55.754,00","298,85",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121485
VOD,VODAFONE GROUP PLC,Kommunikation,Aktien,"16.315.658,58","0,17","16.315.658,58","15.195.429,00","1,07",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BH4HKS39
