Emittententicker,Name,ISIN
ASML,ASML HOLDING NV,NL0010273215
AZN,ASTRAZENECA PLC,GB0009895292
ROG,ROCHE HOLDING PAR AG,CH0012032048
NESN,NESTLE SA,CH0038863350
NOVN,NOVARTIS AG,CH0012005267
HSBA,HSBC HOLDINGS PLC,GB0005405286
SAP,SAP,DE0007164600
SHELL,SHELL PLC,GB00BP6MXD84
SIE,SIEMENS N AG,DE0007236101
MC,LVMH,FR0000121014
ALV,ALLIANZ,DE0008404005
SAN,BANCO SANTANDER SA,ES0113900J37
NOVO B,NOVO NORDISK CLASS B,DK0062498333
ULVR,UNILEVER PLC,GB00B10RZP78
SU,SCHNEIDER ELECTRIC,FR0000121972
TTE,TOTALENERGIES,FR0000120271
AIR,AIRBUS GROUP,NL0000235190
IBE,IBERDROLA SA,ES0144580Y14
BATS,BRITISH AMERICAN TOBACCO,GB0002875804
SAF,SAFRAN SA,FR0000073272
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,ES0113211835
UBSG,UBS GROUP AG,CH0244767585
RR.,ROLLS-ROYCE HOLDINGS PLC,GB00B63H8491
UCG,UNICREDIT,IT0005239360
SAN,SANOFI SA,FR0000120578
EL,ESSILORLUXOTTICA SA,FR0000121667
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,CH0210483332
DTE,DEUTSCHE TELEKOM N AG,DE0005557508
ABBN,ABB LTD,CH0012221716
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,FR0000120073
ZURN,ZURICH INSURANCE GROUP AG,CH0011075394
OR,LOREAL SA,FR0000120321
GSK,GLAXOSMITHKLINE,GB00BN7SWP63
BP.,BP PLC,GB0007980591
ISP,INTESA SANPAOLO,IT0000072618
ENR,SIEMENS ENERGY N AG,DE000ENER6Y0
BNP,BNP PARIBAS SA,FR0000131104
RMS,HERMES INTERNATIONAL,FR0000052292
CS,AXA SA,FR0000120628
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,DE0008430026
DG,VINCI SA,FR0000125486
PRX,PROSUS NV CLASS N,NL0013654783
ENEL,ENEL,IT0003128367
RHM,RHEINMETALL AG,DE0007030009
BARC,BARCLAYS PLC,GB0031348658
INGA,ING GROEP NV,NL0011821202
NG.,NATIONAL GRID PLC,GB00BDR05C01
RIO,RIO TINTO PLC,GB0007188757
REL,RELX PLC,GB00B2B0DG97
LLOY,LLOYDS BANKING GROUP PLC,GB0008706128
DBK,DEUTSCHE BANK AG,DE0005140008
NWG,NATWEST GROUP PLC,GB00BM8PJY71
BA.,BAE SYSTEMS PLC,GB0002634946
ABI,ANHEUSER-BUSCH INBEV SA,BE0974293251
ITX,INDUSTRIA DE DISENO TEXTIL SA,ES0148396007
INVE B,INVESTOR CLASS B,SE0015811963
LSEG,LONDON STOCK EXCHANGE GROUP PLC,GB00B0SWJX34
NDA FI,NORDEA BANK,FI4000297767
BN,DANONE SA,FR0000120644
ARGX,ARGENX,NL0010832176
CPG,COMPASS GROUP PLC,GB00BD6K4575
GLE,SOCIETE GENERALE SA,FR0000130809
IFX,INFINEON TECHNOLOGIES AG,DE0006231004
RKT,RECKITT BENCKISER GROUP PLC,GB00B24CGK77
SREN,SWISS RE AG,CH0126881561
DGE,DIAGEO PLC,GB0002374006
SGO,COMPAGNIE DE SAINT GOBAIN SA,FR0000125007
HOLN,HOLCIM LTD AG,CH0012214059
DB1,DEUTSCHE BOERSE AG,DE0005810055
MBG,MERCEDES-BENZ GROUP N AG,DE0007100000
DHL,DEUTSCHE POST AG,DE0005552004
LONN,LONZA GROUP AG,CH0013841017
VOLV B,VOLVO CLASS B,SE0000115446
ENGI,ENGIE SA,FR0010208488
RACE,FERRARI NV,NL0011585146
BAS,BASF N,DE000BASF111
ADYEN,ADYEN NV,NL0012969182
GLEN,GLENCORE PLC,JE00B4T3BW64
DSV,DSV,DK0060079531
HLN,HALEON PLC,GB00BMX86B70
G,ASSICURAZIONI GENERALI,IT0000062072
ATCO A,ATLAS COPCO CLASS A,SE0017486889
III,3I GROUP PLC,GB00B1YW4409
STAN,STANDARD CHARTERED PLC,GB0004082847
AAL,ANGLO AMERICAN PLC,GB00BTK05J60
EOAN,E.ON N,DE000ENAG999
ENI,ENI,IT0003132476
CABK,CAIXABANK SA,ES0140609019
ALC,ALCON AG,CH0432492467
EXPN,EXPERIAN PLC,GB00B19NLV48
TSCO,TESCO PLC,GB00BLGZ9862
LR,LEGRAND SA,FR0010307819
AD,KONINKLIJKE AHOLD DELHAIZE NV,NL0011794037
ASSA B,ASSA ABLOY B,SE0007100581
PRU,PRUDENTIAL PLC,GB0007099541
BAYN,BAYER AG,DE000BAY0017
RWE,RWE AG,DE0007037129
UCB,UCB SA,BE0003739530
GIVN,GIVAUDAN SA,CH0010645932
AMS,AMADEUS IT GROUP SA,ES0109067019
IMB,IMPERIAL BRANDS PLC,GB0004544929
EQT,EQT,SE0012853455
FER,FERROVIAL,NL0015001FS8
HEI,HEIDELBERG MATERIALS AG,DE0006047004
EBS,ERSTE GROUP BANK AG,AT0000652011
ORA,ORANGE SA,FR0000133308
SAND,SANDVIK,SE0000667891
SSE,SSE PLC,GB0007908733
SIKA,SIKA AG,CH0418792922
